text,label
"I love this product so much",positive
"This app is terrible and keeps crashing",negative
"It is okay and works as expected",neutral
"Amazing update, very smooth and fast",positive
"Worst customer support ever",negative
"Nothing special, it is just average",neutral
"I am super happy with the service",positive
"This is disappointing and frustrating",negative
"The design is fine but not exciting",neutral
"Absolutely fantastic experience today",positive
"I hate the new layout",negative
"The feature is useful but still basic",neutral
"What a wonderful release",positive
"Bad performance after the patch",negative
"It is acceptable for now",neutral
"Love the color scheme and speed",positive
"This is the worst purchase I made",negative
"The experience is neither good nor bad",neutral
"Really impressed with the improvements",positive
"The update broke everything",negative
